Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,player_id
Mario Addison,97,RDE,6-3,260,33,Northeast Mississippi CC; Troy,15,7,4,1
Josh Allen,17,QB,6-5,237,24,Reedley JC; Wyoming,16,16,4,2
Matt Barkley,5,QB,6-0,229,30,Southern California,5,0,4,3
Tyler Bass,2,K,5-10,185,23,Georgia Southern,16,0,4,4
Ryan Bates,71,C-LOT-ROT,6-4,302,23,Penn State,16,0,4,5
Cole Beasley,11,WR,5-8,180,31,Southern Methodist,15,10,4,6
Nate Becker,84,TE,6-5,264,24,Miami (Ohio),1,0,4,7
Ike Boettger,65,LOG-ROG,6-6,313,26,Iowa,12,7,4,8
Corey Bojorquez,9,P,6-0,208,24,Cerritos JC; New Mexico,16,0,4,9
John Brown,15,WR,5-11,179,30,Mars Hill; Coffeyville CC; Pittsburg State,9,8,4,10
Brandin Bryant,74,RDT,6-3,304,27,Fort Scott CC; Florida Atlantic,1,0,4,11
Vernon Butler,94,LDT-RDT,6-4,327,26,Louisiana Tech,14,9,4,12
Bryan Cox,51,RDE,6-3,270,26,Florida,1,0,4,13
Gabe Davis,13,WR,6-3,212,21,Central Florida,16,11,4,14
Dion Dawkins,73,LOT,6-5,320,26,Temple,16,16,4,15
Jordan Devey,68,LOG,6-6,319,32,Snow JC; Memphis,1,0,4,16
Stefon Diggs,14,WR,6-0,192,27,Maryland,16,15,4,17
Tyrel Dodson,53,MLB-WLB,6-0,237,22,Texas A&M,10,2,4,18
Tremaine Edmunds,49,MLB,6-5,250,22,Virginia Tech,15,15,4,19
A.J. Epenesa,57,RDE-LDE,6-6,280,22,Iowa,14,1,4,20
Jon Feliciano,76,ROG-LOG-C,6-4,325,28,Miami (Florida),9,9,4,21
Reid Ferguson,69,LONG,6-2,244,26,Louisiana State,16,0,4,22
Cody Ford,70,LOG-ROG,6-4,338,24,Oklahoma,7,7,4,23
Reggie Gilliam,86,TE,6-1,255,23,Toledo,14,0,4,24
