Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Mario Addison,97.0,RDE,6-3,260,34.0,Northeast Mississippi CC; Troy,17.0,0.0,4,,,1
Josh Allen,17.0,QB,6-5,237,25.0,Reedley JC; Wyoming,17.0,17.0,4,,,2
Eli Ankou,51.0,RDT,6-3,316,27.0,UCLA,5.0,0.0,4,,,3
Carlos Basham,96.0,RDE,6-5,285,24.0,Wake Forest,8.0,0.0,4,,,4
Tyler Bass,2.0,K,5-10,185,24.0,Georgia Southern,17.0,0.0,4,,,5
Ryan Bates,71.0,LOG-ROG-C-TE,6-4,302,24.0,Penn State,17.0,4.0,4,,,6
Cole Beasley,11.0,WR,5-8,180,32.0,Southern Methodist,16.0,8.0,4,,,7
Ike Boettger,65.0,LOG-ROG,6-6,313,27.0,Iowa,15.0,10.0,4,,,8
Matt Breida,22.0,RB,5-11,190,26.0,Georgia Southern,9.0,0.0,4,,,9
Spencer Brown,79.0,ROT-LOT,6-9,311,23.0,Northern Iowa,13.0,10.0,4,,,10
Brandin Bryant,90.0,DT,6-3,304,28.0,Fort Scott CC; Florida Atlantic,2.0,0.0,4,,,11
Vernon Butler,94.0,LDT-RDT,6-4,327,27.0,Louisiana Tech,10.0,1.0,4,,,12
Gabe Davis,13.0,WR,6-3,212,22.0,Central Florida,16.0,4.0,4,,,13
Dion Dawkins,73.0,LOT,6-5,320,27.0,Temple,16.0,15.0,4,,,14
Stefon Diggs,14.0,WR,6-0,192,28.0,Maryland,17.0,17.0,4,,,15
Tyrel Dodson,53.0,MLB-WLB,6-0,237,23.0,Texas A&M,16.0,0.0,4,,,16
Jamil Douglas,77.0,LOG,6-4,309,29.0,Arizona State,1.0,0.0,4,,,17
Tommy Doyle,72.0,ROT-LOT,6-8,326,23.0,Miami (Ohio),11.0,0.0,4,,,18
Tremaine Edmunds,49.0,MLB,6-5,250,23.0,Virginia Tech,15.0,15.0,4,,,19
A.J. Epenesa,57.0,LDE-RDE,6-6,280,23.0,Iowa,14.0,0.0,4,,,20
Jon Feliciano,76.0,LOG-ROG,6-4,325,29.0,Miami (Florida),9.0,6.0,4,,,21
Reid Ferguson,69.0,LONG,6-2,244,27.0,Louisiana State,17.0,0.0,4,,,22
Cody Ford,74.0,ROG,6-4,338,25.0,Oklahoma,15.0,6.0,4,,,23
Joe Giles-Harris,42.0,WLB,6-2,240,24.0,Duke,2.0,0.0,4,,,24
Reggie Gilliam,41.0,RB,6-1,255,24.0,Toledo,16.0,5.0,4,,,25
Matt Haack,3.0,P,6-1,203,27.0,Arizona State,17.0,0.0,4,,,26
Damar Hamlin,31.0,SS,6-1,195,23.0,Pittsburgh,14.0,0.0,4,,,27
Bobby Hart,68.0,OT,6-4,329,27.0,Florida State,1.0,0.0,4,,,28
Isaiah Hodgins,16.0,WR,6-4,209,23.0,Oregon State,1.0,0.0,4,,,29
Jerry Hughes,55.0,RDE,6-2,254,33.0,Texas Christian,17.0,16.0,4,,,30
Micah Hyde,23.0,FS,6-0,197,31.0,Iowa,17.0,17.0,4,,,31
Dane Jackson,30.0,LCB-RCB,6-0,190,25.0,Pittsburgh,17.0,6.0,4,,,32
Jaquan Johnson,46.0,FS-SS,5-11,195,26.0,Miami (Florida),17.0,1.0,4,,,33
Taron Johnson,24.0,NB,5-11,192,25.0,Weber State,16.0,15.0,4,,,34
Taiwan Jones,25.0,RB,6-0,195,33.0,Eastern Washington,17.0,0.0,4,,,35
A.J. Klein,54.0,MLB-SLB-WLB,6-1,242,30.0,Iowa State,15.0,4.0,4,,,36
Dawson Knox,88.0,TE,6-4,257,25.0,Mississippi,15.0,14.0,4,,,37
Jake Kumerow,15.0,WR,6-4,209,29.0,Illinois; Wisconsin-Whitewater,15.0,2.0,4,,,38
Cam Lewis,47.0,RCB,5-9,183,24.0,Buffalo,7.0,1.0,4,,,39
Star Lotulelei,98.0,RDT,6-2,316,32.0,Snow JC; Utah,11.0,8.0,4,,,40
Tyler Matakevich,44.0,MLB,6-1,235,29.0,Temple,17.0,0.0,4,,,41
Isaiah McKenzie,19.0,WR,5-8,173,26.0,Georgia,15.0,2.0,4,,,42
Matt Milano,68.0,WLB,6-0,223,27.0,Boston College,16.0,16.0,4,,,43
Mitch Morse,60.0,C,6-5,305,29.0,Missouri,17.0,17.0,4,,,44
Zack Moss,20.0,RB,5-10,222,24.0,Utah,13.0,0.0,4,,,45
Siran Neal,33.0,NB-LCB,6-0,206,27.0,Jacksonville State,17.0,0.0,4,,,46
Efe Obada,93.0,RDE-LDE,6-6,265,29.0,none,10.0,0.0,4,,,47
Ed Oliver,91.0,LDT,6-3,292,24.0,Houston,17.0,17.0,4,,,48
Harrison Phillips,99.0,RDT-LDT,6-3,307,25.0,Stanford,14.0,8.0,4,,,49
Jordan Poyer,21.0,SS,6-0,191,30.0,Oregon State,17.0,17.0,4,,,50
Greg Rousseau,50.0,LDE,6-7,265,21.0,Miami (Florida),17.0,17.0,4,,,51
Emmanuel Sanders,1.0,WR,5-11,180,34.0,Southern Methodist,14.0,13.0,4,,,52
Devin Singletary,26.0,RB,5-9,200,24.0,Florida Atlantic,17.0,16.0,4,,,53
Andre Smith,9.0,WLB,6-0,240,24.0,North Carolina,15.0,0.0,4,,,54
Marquez Stevenson,5.0,WR,6-0,190,23.0,Houston,5.0,0.0,4,,,55
Tommy Sweeney,89.0,TE,6-5,260,26.0,Boston College,13.0,3.0,4,,,56
Mitch Trubisky,10.0,QB,6-3,222,27.0,North Carolina,6.0,0.0,4,,,57
Levi Wallace,39.0,RCB-LCB,6-0,179,26.0,Alabama,17.0,17.0,4,,,58
Kahale Warring,81.0,TE,6-6,250,24.0,San Diego State,1.0,0.0,4,,,59
Davis Webb,7.0,QB,6-5,225,26.0,Texas Tech; California,1.0,0.0,4,,,60
Tre'Davious White,27.0,LCB-RCB,5-11,192,26.0,Louisiana State,11.0,0.0,4,,,61
Daryl Williams,75.0,ROT-ROG,6-6,332,29.0,Oklahoma,17.0,17.0,4,,,62
Justin Zimmer,61.0,RDT,6-3,292,29.0,Ferris State,6.0,0.0,4,,,63
Nelson Agholor,15.0,WR,6-0,198,28.0,Southern California,15.0,13.0,22,,,64
Henry Anderson,94.0,RDE,6-6,300,30.0,Stanford,4.0,0.0,22,,,65
David Andrews,60.0,C,6-3,296,29.0,Georgia,17.0,17.0,22,,,66
Devin Asiasi,86.0,TE,6-3,260,24.0,Michigan; UCLA,1.0,0.0,22,,,67
Jake Bailey,7.0,P,6-2,202,24.0,Stanford,17.0,0.0,22,,,68
Christian Barmore,90.0,LDE-LDT-RDE,6-5,310,22.0,Alabama,17.0,2.0,22,,,69
Ja'Whaun Bentley,8.0,SLB,6-2,255,25.0,Purdue,16.0,16.0,22,,,70
Justin Bethel,29.0,FS,6-0,200,31.0,Presbyterian,17.0,0.0,22,,,71
Brandon Bolden,25.0,RB,5-11,220,31.0,Mississippi,17.0,1.0,22,,,72
Kendrick Bourne,84.0,WR,6-1,203,26.0,Eastern Washington,17.0,5.0,22,,,73
Tashawn Bower,96.0,LDT,6-5,250,26.0,Louisiana State,2.0,0.0,22,,,74
Trent Brown,77.0,ROT,6-8,355,28.0,Georgia Military JC; Florida,9.0,9.0,22,,,75
Myles Bryant,41.0,LCB-RCB,5-9,185,23.0,Washington,12.0,2.0,22,,,76
Yodny Cajuste,72.0,ROT-LOT,6-5,321,25.0,West Virginia,7.0,2.0,22,,,77
Joe Cardona,49.0,LONG,6-3,245,29.0,Navy,17.0,0.0,22,,,78
Jamie Collins,58.0,WLB-MLB-SLB,6-3,250,31.0,Southern Mississippi,10.0,2.0,22,,,79
Carl Davis,98.0,LDE-RDT,6-5,320,29.0,Iowa,17.0,4.0,22,,,80
Cody Davis,22.0,FS,6-1,205,32.0,Texas Tech,17.0,0.0,22,,,81
Sean Davis,30.0,SS,6-1,202,28.0,Maryland,2.0,0.0,22,,,82
Kyle Dugger,23.0,NB-SS,6-2,220,25.0,Lenoir-Rhyne,15.0,13.0,22,,,83
Yasir Durant,70.0,ROT-ROG,6-7,330,23.0,Arizona Western JC; Missouri,8.0,1.0,22,,,84
Daniel Ekuale,95.0,RDT,6-3,300,27.0,Washington State,7.0,0.0,22,,,85
James Ferentz,65.0,LOG,6-2,290,32.0,Iowa,3.0,2.0,22,,,86
Nick Folk,6.0,K,6-1,222,37.0,Arizona,17.0,0.0,22,,,87
Davon Godchaux,92.0,LDT-RDT,6-3,31-0,27.0,Louisiana State,17.0,16.0,22,,,88
