,Player,GP,FGM-A,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM-A,XP%,PTS,Team
0,Brandon Aubrey,17,38,94.7,60,0-0,9-9,13-15,4-4,10-10,52,94.2,157,DAL
1,Justin Tucker,17,37,86.5,50,0-0,10-10,10-10,11-12,1-5,52,98.1,147,BAL
2,Jason Myers,17,42,83.3,55,0-0,8-8,11-12,12-14,4-8,33,100.0,138,SEA
3,Harrison Butker,17,35,94.3,60,0-0,8-8,13-15,7-7,5-5,38,100.0,137,KC
4,Cairo Santos,17,38,92.1,55,0-0,9-9,11-11,8-10,7-8,33,93.9,136,CHI
5,Jake Elliott,17,32,93.8,61,0-0,9-9,7-8,7-7,7-8,46,97.8,135,PHI
6,Matt Gay,17,41,80.5,57,0-0,9-9,9-10,7-9,8-13,36,97.2,134,IND
7,Blake Grupe,17,37,81.1,55,0-0,10-12,6-6,8-10,6-9,40,100.0,130,NO
8,Jason Sanders,17,28,85.7,57,0-0,6-6,7-7,6-8,5-7,59,98.3,130,MIA
9,Cameron Dicker,17,33,93.9,55,0-0,7-7,8-8,9-9,7-9,35,100.0,128,LAC
10,Brandon McManus,17,37,81.1,56,0-0,4-4,10-10,11-13,5-10,35,100.0,125,WAS
11,Dustin Hopkins,15,36,91.7,58,0-0,8-8,7-7,10-13,8-8,26,92.3,123,CLE
12,Younghoe Koo,17,37,86.5,54,0-0,10-10,10-10,9-11,3-6,28,96.4,123,ATL
13,Jake Moody,17,25,84.0,57,0-0,7-7,8-9,4-6,2-3,61,98.4,123,SF
14,Tyler Bass,17,29,82.8,54,0-0,4-4,12-13,4-6,4-6,50,98.0,121,BUF
15,Chase McLaughlin,17,31,93.5,57,0-0,8-8,12-12,2-3,7-8,33,100.0,120,TB
16,Greg Zuerlein,16,38,92.1,55,0-0,8-8,9-10,13-14,5-6,16,93.8,120,NYJ
17,Wil Lutz,17,34,88.2,52,0-0,11-11,12-13,4-5,3-5,31,93.5,119,DEN
18,Evan McPherson,17,31,83.9,56,0-0,5-5,6-6,8-8,7-12,40,100.0,118,CIN
19,Anders Carlson,17,33,81.8,53,0-0,6-6,14-14,4-8,3-5,39,87.2,115,GB
20,Nick Folk,17,30,96.7,53,0-0,9-9,9-9,6-6,5-6,30,93.3,115,TEN
21,Chris Boswell,17,31,93.5,57,0-0,9-9,7-7,7-8,6-7,28,96.4,114,PIT
22,Daniel Carlson,17,30,86.7,54,0-0,10-10,6-7,9-10,1-3,32,100.0,110,LV
23,Greg Joseph,17,30,80.0,54,1-1,7-7,9-9,3-6,4-7,38,94.7,108,GB
24,Matt Prater,17,33,84.8,62,0-0,6-6,7-8,6-7,9-12,23,95.7,106,ARI
25,Ka'imi Fairbairn,12,28,96.4,54,0-0,10-10,10-10,2-2,5-6,22,95.5,102,HOU
26,Eddy Pineiro,15,29,86.2,56,0-0,6-6,7-7,7-9,5-7,20,85.0,92,CAR
27,Riley Patterson,15,18,88.9,52,0-0,2-3,11-11,2-2,1-2,44,93.2,89,JAC
28,Joey Slye,17,24,79.2,61,0-0,2-3,7-7,7-9,3-5,35,91.4,89,NE
29,Chad Ryland,17,25,64.0,56,0-0,4-4,5-7,5-10,2-4,25,96.0,72,NE
30,Lucas Havrisik,9,20,75.0,52,0-0,8-8,3-3,2-6,2-3,22,86.4,64,CLE
31,Brett Maher,8,23,73.9,54,0-0,3-3,4-4,7-9,3-7,15,86.7,64,LAR
32,Graham Gano,8,17,64.7,57,0-0,2-2,3-5,3-6,3-4,8,100.0,41,NYG
33,Matt Ammendola,5,9,66.7,45,0-0,2-2,3-3,1-2,0-2,11,90.9,28,HOU
34,Mike Badgley,4,4,100.0,41,0-0,0-0,3-3,1-1,0-0,15,86.7,25,DET
35,Randy Bullock,6,6,83.3,56,0-0,0-0,2-2,2-3,1-1,10,100.0,25,NYG
36,Mason Crosby,3,7,71.4,52,0-0,2-2,2-2,0-1,1-2,7,85.7,21,NYG
37,Austin Seibert,1,1,100.0,34,0-0,0-0,1-1,0-0,0-0,1,100.0,4,NYJ
38,,17,1,100.0,40,0-0,0-0,0-0,1-1,0-0,0,—,3,Jamie Gillan
39,Dare Ogunbowale,12,1,100.0,29,0-0,1-1,0-0,0-0,0-0,0,—,3,HOU
40,Jake Bailey,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,MIA
41,D'Anthony Bell,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,CLE
42,Jake Camarda,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,TB
43,Riley Dixon,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,DEN
44,Ethan Evans,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,LAR
45,Cameron Johnston,13,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,PIT
46,Bradley Pinion,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,ATL
47,Jordan Stout,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,BAL
48,Tommy Townsend,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,HOU
49,Ryan Wright,17,0,—,—,0-0,0-0,0-0,0-0,0-0,0,—,0,MIN
