Team,Win Pct,Opp,Opp Pct,Delta
ARI,0.235,BAL,0.765,-0.53
ATL,0.412,@TEN,0.353,0.059
BAL,0.765,@ARI,0.235,0.53
BUF,0.647,TB,0.529,0.118
CAR,0.118,HOU,0.588,-0.47
CHI,0.412,@LAC,0.294,0.118
CIN,0.529,@SF,0.706,-0.17699999999999994
CLE,0.647,@SEA,0.529,0.118
DAL,0.706,LAR,0.588,0.118
DEN,0.471,KC,0.647,-0.17600000000000005
DET,0.706,LV,0.471,0.235
GB,0.529,MIN,0.412,0.11700000000000005
HOU,0.588,@CAR,0.118,0.47
IND,0.529,NO,0.529,0.0
JAX,0.529,@PIT,0.588,-0.05899999999999994
KC,0.647,@DEN,0.471,0.17600000000000005
LAC,0.294,@DET,0.706,-0.412
LAR,0.588,@DAL,0.706,-0.118
LV,0.471,CHI,0.412,0.059
MIA,0.647,NE,0.235,0.41200000000000003
MIN,0.412,@GB,0.529,-0.11700000000000005
NE,0.235,@MIA,0.647,-0.41200000000000003
NO,0.529,@IND,0.529,0.0
NYG,0.353,NYJ,0.412,-0.059
NYJ,0.412,@NYG,0.353,0.059
PHI,0.647,@WSH,0.235,0.41200000000000003
PIT,0.588,JAX,0.529,0.05899999999999994
SEA,0.529,CIN,0.529,0.0
SF,0.706,CLE,0.647,0.05899999999999994
TB,0.529,@BUF,0.647,-0.118
TEN,0.353,ATL,0.412,-0.059
WSH,0.235,PHI,0.647,-0.41200000000000003
