,Player,GP,REC,YDS,YDS/G,AVG,LNG,TD,Team,REC/GP
0,Tyreek Hill,16,119,1799,112.4,15.1,78,13,MIA,7.4375
1,CeeDee Lamb,17,135,1749,102.9,13.0,92,12,DAL,7.9411764705882355
2,Amon-Ra St. Brown,16,119,1515,94.7,12.7,70,10,DET,7.4375
3,Puka Nacua,17,105,1486,87.4,14.2,80,6,LAR,6.176470588235294
4,A.J. Brown,17,106,1456,85.6,13.7,59,7,PHI,6.235294117647059
5,DJ Moore,17,96,1364,80.2,14.2,58,8,CHI,5.647058823529412
6,Brandon Aiyuk,16,75,1342,83.9,17.9,76,7,SF,4.6875
7,Nico Collins,15,80,1297,86.5,16.2,75,8,HOU,5.333333333333333
8,Mike Evans,17,79,1255,73.8,15.9,75,13,TB,4.647058823529412
9,Amari Cooper,15,72,1250,83.3,17.4,75,5,CLE,4.8
10,Keenan Allen,13,108,1243,95.6,11.5,42,7,CHI,8.307692307692308
11,Ja'Marr Chase,16,100,1216,76.0,12.2,76,7,CIN,6.25
12,Stefon Diggs,17,107,1183,69.6,11.1,55,8,HOU,6.294117647058823
13,Michael Pittman,16,109,1152,72.0,10.6,75,4,IND,6.8125
14,Davante Adams,17,103,1144,67.3,11.1,46,8,LV,6.0588235294117645
15,George Pickens,17,63,1140,67.1,18.1,86,5,PIT,3.7058823529411766
16,Chris Olave,16,87,1123,70.2,12.9,51,5,NO,5.4375
17,DK Metcalf,16,66,1114,69.6,16.9,73,8,SEA,4.125
18,Justin Jefferson,10,68,1074,107.4,15.8,52,5,MIN,6.8
19,DeVonta Smith,16,81,1066,66.6,13.2,63,7,PHI,5.0625
20,DeAndre Hopkins,17,75,1057,62.2,14.1,61,7,TEN,4.411764705882353
21,Garrett Wilson,17,95,1042,61.3,11.0,68,3,NYJ,5.588235294117647
22,Chris Godwin,17,83,1024,60.2,12.3,47,2,TB,4.882352941176471
23,George Kittle,16,65,1020,63.8,15.7,66,6,SF,4.0625
24,Calvin Ridley,17,76,1016,59.8,13.4,59,8,TEN,4.470588235294118
25,Adam Thielen,17,103,1014,59.6,9.8,32,4,CAR,6.0588235294117645
