,Player,GP,ATT,YDS,YDS/G,AVG,TD,LNG,Team
0,Christian McCaffrey,16,272,1459,91.2,5.4,14,72,SF
1,Derrick Henry,17,280,1167,68.6,4.2,12,69,BAL
2,Kyren Williams,12,228,1144,95.3,5.0,12,56,LAR
3,James Cook,17,237,1122,66.0,4.7,2,42,BUF
4,D'Andre Swift,16,229,1049,65.6,4.6,5,43,CHI
5,James Conner,13,208,1040,80.0,5.0,7,44,ARI
6,Najee Harris,17,255,1035,60.9,4.1,8,25,PIT
7,Joe Mixon,17,257,1034,60.8,4.0,9,44,HOU
8,David Montgomery,14,219,1015,72.5,4.6,13,75,DET
9,Raheem Mostert,15,209,1012,67.5,4.8,18,49,MIA
10,Travis Etienne,17,267,1008,59.3,3.8,11,62,JAC
11,Tony Pollard,17,252,1005,59.1,4.0,6,31,TEN
12,Breece Hall,17,223,994,58.5,4.5,5,83,NYJ
13,Rachaad White,17,272,990,58.2,3.6,6,38,TB
14,Bijan Robinson,17,214,976,57.4,4.6,4,38,ATL
15,Saquon Barkley,14,247,962,68.7,3.9,6,36,PHI
16,Jahmyr Gibbs,15,182,945,63.0,5.2,10,36,DET
17,Isiah Pacheco,14,205,935,66.8,4.6,7,48,KC
18,Kenneth Walker III,15,219,905,60.3,4.1,8,45,SEA
19,Chuba Hubbard,17,238,902,53.1,3.8,5,22,CAR
20,Devin Singletary,17,216,898,52.8,4.2,4,24,NYG
21,Lamar Jackson,16,148,821,51.3,5.6,5,30,BAL
22,Jerome Ford,17,204,813,47.8,4.0,4,69,CLE
23,Gus Edwards,17,198,810,47.6,4.1,13,42,LAC
24,Josh Jacobs,13,233,805,61.9,3.5,6,63,GB
25,De'Von Achane,11,103,800,72.7,7.8,8,76,MIA
26,Zack Moss,14,183,794,56.7,4.3,5,56,CIN
27,Jaylen Warren,17,149,784,46.1,5.3,4,74,PIT
28,Javonte Williams,16,217,774,48.4,3.6,3,21,DEN
29,Jonathan Taylor,10,169,741,74.1,4.4,7,49,IND
30,Brian Robinson Jr.,15,178,733,48.9,4.1,5,29,WAS
31,Alexander Mattison,16,180,700,43.8,3.9,0,21,LV
32,Alvin Kamara,13,180,694,53.4,3.9,5,17,NO
33,Tyler Allgeier,17,186,683,40.2,3.7,4,31,ATL
34,Justin Fields,13,124,657,50.5,5.3,4,39,PIT
35,Aaron Jones,11,142,656,59.6,4.6,2,39,MIN
36,Ezekiel Elliott,17,184,642,37.8,3.5,3,17,DAL
37,Austin Ekeler,14,179,628,44.9,3.5,5,55,WAS
38,Rhamondre Stevenson,12,156,619,51.6,4.0,4,64,NE
39,AJ Dillon,15,178,613,40.9,3.4,2,40,GB
40,Khalil Herbert,12,132,611,50.9,4.6,2,38,CHI
41,Jalen Hurts,17,157,605,35.6,3.9,15,24,PHI
42,Josh Allen,17,111,524,30.8,4.7,15,23,BUF
43,Zach Charbonnet,16,108,462,28.9,4.3,1,23,SEA
44,Ty Chandler,17,102,461,27.1,4.5,3,31,MIN
45,Tyjae Spears,17,100,453,26.6,4.5,2,23,TEN
46,Zamir White,17,104,451,26.5,4.3,1,43,LV
47,Miles Sanders,16,129,432,27.0,3.4,1,48,CAR
48,D'Onta Foreman,9,109,425,47.2,3.9,4,22,CLE
49,Joshua Dobbs,13,77,421,32.4,5.5,6,44,SF
50,Dameon Pierce,14,145,416,29.7,2.9,2,22,HOU
51,Kareem Hunt,15,135,411,27.4,3.0,9,16,CLE
52,Jaleel McLaughlin,17,76,410,24.1,5.4,1,38,DEN
53,Joshua Kelley,17,107,405,23.8,3.8,2,49,LAC
54,Taysom Hill,16,81,401,25.1,5.0,4,27,NO
55,Keaton Mitchell,8,47,396,49.5,8.4,2,60,BAL
56,Patrick Mahomes,16,75,389,24.3,5.2,0,25,KC
57,Justice Hill,16,84,387,24.2,4.6,3,41,BAL
58,Kenneth Gainwell,16,84,364,22.8,4.3,2,32,PHI
59,Rico Dowdle,16,89,361,22.6,4.1,2,21,DAL
60,Roschon Johnson,15,81,352,23.5,4.4,2,29,CHI
61,Russell Wilson,15,80,341,22.7,4.3,3,21,PIT
62,Trevor Lawrence,16,70,339,21.2,4.8,4,26,JAC
63,Royce Freeman,14,77,319,22.8,4.1,2,23,DAL
64,Jamaal Williams,13,106,306,23.5,2.9,1,17,NO
65,Latavius Murray,16,79,300,18.8,3.8,4,29,BUF
66,Pierre Strong Jr.,17,63,291,17.1,4.6,1,40,CLE
67,Emari Demercado,14,58,284,20.3,4.9,2,49,ARI
68,Elijah Mitchell,11,75,281,25.5,3.8,2,18,SF
69,Antonio Gibson,16,65,265,16.6,4.1,1,16,NE
70,Sam Howell,17,48,263,15.5,5.5,5,24,SEA
71,Bryce Young,16,39,253,15.8,6.5,0,26,CAR
72,Jordan Love,17,50,247,14.5,4.9,4,37,GB
73,Chris Rodriguez Jr.,13,51,247,19.0,4.8,2,16,WAS
74,Kyler Murray,8,44,244,30.5,5.6,3,33,ARI
75,Dak Prescott,17,55,242,14.2,4.4,2,22,DAL
76,Samaje Perine,17,53,238,14.0,4.5,1,24,DEN
77,Justin Herbert,13,52,228,17.5,4.4,3,35,LAC
78,Deebo Samuel,15,37,225,15.0,6.1,5,23,SF
79,Clyde Edwards-Helaire,15,70,223,14.9,3.2,1,20,KC
80,Dalvin Cook,15,67,214,14.3,3.2,0,14,BAL
81,Zach Wilson,12,36,211,17.6,5.9,0,20,DEN
82,Daniel Jones,6,40,206,34.3,5.2,1,17,NYG
83,Jordan Mason,17,40,206,12.1,5.2,3,26,SF
84,Tyrod Taylor,11,38,197,17.9,5.2,0,31,NYJ
85,Tommy DeVito,9,36,195,21.7,5.4,1,26,NYG
86,Desmond Ridder,15,53,193,12.9,3.6,5,23,ARI
87,Jeff Wilson,10,41,188,18.8,4.6,0,15,MIA
88,Michael Carter,15,30,187,12.5,6.2,0,21,ARI
89,Cordarrelle Patterson,14,50,181,12.9,3.6,0,18,PIT
90,Chase Brown,12,44,179,14.9,4.1,0,31,CIN
91,Craig Reynolds,17,41,179,10.5,4.4,1,19,DET
92,Rondale Moore,17,28,178,10.5,6.4,1,45,ATL
93,Chase Edmonds,13,49,176,13.5,3.6,0,21,TB
94,Nick Chubb,2,28,170,85.0,6.1,0,20,CLE
95,Cam Akers,7,60,167,23.9,2.8,2,19,MIN
96,C.J. Stroud,15,39,167,11.1,4.3,3,16,HOU
97,Baker Mayfield,17,62,163,9.6,2.6,1,31,TB
98,Trey Sermon,14,35,160,11.4,4.6,0,27,IND
99,Kendre Miller,8,41,156,19.5,3.8,1,18,NO
