Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
ARI,471,2365,5,17,23,5,49,127,27,9
ATL,522,2159,4.1,14,11,0,38,121,23.2,13
BAL,541,2661,4.9,26,21,4,60,144,26.6,7
BUF,512,2212,4.3,22,9,1,42,158,30.9,9
CAR,445,1769,4,7,9,1,48T,111,24.9,5
CHI,534,2399,4.5,16,13,0,39T,137,25.7,5
CIN,383,1527,4,12,7,1,44,90,23.5,1
CLE,518,2017,3.9,15,9,3,69,121,23.4,9
DAL,468,1920,4.1,14,12,1,46,113,24.2,4
DEN,451,1810,4,8,9,0,38,116,25.7,5
DET,500,2311,4.6,27,15,3,75,124,24.8,7
GB,441,1905,4.3,10,13,1,40T,101,22.9,6
HOU,444,1647,3.7,10,4,0,24,84,18.9,5
IND,479,2059,4.3,19,14,4,56,113,23.6,4
JAX,453,1646,3.6,17,9,1,62T,98,21.6,5
KC,417,1784,4.3,9,10,1,48T,107,25.7,2
LAC,431,1642,3.8,11,9,3,55T,89,20.6,6
LAR,477,2045,4.3,18,11,1,56,110,23.1,2
LV,413,1542,3.7,11,7,3,63,83,20.1,5
MIA,456,2308,5.1,27,17,8,76T,113,24.8,13
MIN,393,1553,4,7,5,0,31,79,20.1,9
NE,415,1627,3.9,9,3,1,64,93,22.4,3
NO,480,1742,3.6,13,4,0,29,112,23.3,6
NYG,454,1874,4.1,10,12,0,36,97,21.4,8
NYJ,388,1647,4.2,7,9,4,83,77,19.8,11
PHI,510,2190,4.3,22,11,1,43,149,29.2,9
PIT,487,2010,4.1,16,14,1,74T,115,23.6,9
SEA,382,1580,4.1,11,13,1,45T,93,24.4,2
SF,499,2389,4.8,27,11,3,72,147,29.5,5
TB,439,1509,3.4,8,5,0,38T,79,18,4
TEN,444,1846,4.2,16,10,2,69,103,23.2,6
WSH,359,1592,4.4,14,8,0,29,99,27.6,6
