,Player,GP,RUTD,RETD,PR,KR,INTR,FUMR,FG,XP,SFTY,2-PT,PTS,PTS/G,Team
0,Brandon Aubrey,17,—,—,—,—,—,—,36,49,—,—,157,—,DAL
1,Justin Tucker,17,—,—,—,—,—,—,32,51,—,—,147,—,BAL
2,Jason Myers,17,—,—,—,—,—,—,35,33,—,—,138,—,SEA
3,Harrison Butker,17,—,—,—,—,—,—,33,38,—,—,137,—,KC
4,Cairo Santos,17,—,—,—,—,—,—,35,31,—,—,136,—,CHI
5,Jake Elliott,17,—,—,—,—,—,—,30,45,—,—,135,—,PHI
6,Matt Gay,17,—,—,—,—,—,—,33,35,—,—,134,—,IND
7,Blake Grupe,17,—,—,—,—,—,—,30,40,—,—,130,—,NO
8,Jason Sanders,17,—,—,—,—,—,—,24,58,—,—,130,—,MIA
9,Cameron Dicker,17,—,—,—,—,—,—,31,35,—,—,128,—,LAC
10,Christian McCaffrey,16,14,7,—,—,—,—,—,—,—,—,126,—,SF
11,Raheem Mostert,15,18,3,—,—,—,—,—,—,—,—,126,—,MIA
12,Brandon McManus,17,—,—,—,—,—,—,30,35,—,—,125,—,WAS
13,Dustin Hopkins,15,—,—,—,—,—,—,33,24,—,—,123,—,CLE
14,Younghoe Koo,17,—,—,—,—,—,—,32,27,—,—,123,—,ATL
15,Jake Moody,17,—,—,—,—,—,—,21,60,—,—,123,—,SF
16,Tyler Bass,17,—,—,—,—,—,—,24,49,—,—,121,—,BUF
17,Chase McLaughlin,17,—,—,—,—,—,—,29,33,—,—,120,—,TB
18,Greg Zuerlein,16,—,—,—,—,—,—,35,15,—,—,120,—,NYJ
19,Wil Lutz,17,—,—,—,—,—,—,30,29,—,—,119,—,DEN
20,Evan McPherson,17,—,—,—,—,—,—,26,40,—,—,118,—,CIN
21,Anders Carlson,17,—,—,—,—,—,—,27,34,—,—,115,—,GB
22,Nick Folk,17,—,—,—,—,—,—,29,28,—,—,115,—,TEN
23,Chris Boswell,17,—,—,—,—,—,—,29,27,—,—,114,—,PIT
24,Daniel Carlson,17,—,—,—,—,—,—,26,32,—,—,110,—,LV
25,Greg Joseph,17,—,—,—,—,—,—,24,36,—,—,108,—,GB
26,Matt Prater,17,—,—,—,—,—,—,28,22,—,—,106,—,ARI
27,Ka'imi Fairbairn,12,—,—,—,—,—,—,27,21,—,—,102,—,HOU
28,Eddy Pineiro,15,—,—,—,—,—,—,25,17,—,—,92,—,CAR
29,Kyren Williams,12,12,3,0,0,—,—,—,—,—,—,92,—,LAR
30,Josh Allen,17,15,—,—,—,—,—,—,—,—,—,90,—,BUF
31,Jalen Hurts,17,15,—,—,—,—,—,—,—,—,—,90,—,PHI
32,Riley Patterson,15,—,—,—,—,—,—,16,41,—,—,89,—,JAC
33,Joey Slye,17,—,—,—,—,—,—,19,32,—,—,89,—,NE
34,CeeDee Lamb,17,2,12,—,—,—,—,—,—,—,—,86,—,DAL
35,Gus Edwards,17,13,0,—,—,—,—,—,—,—,—,80,—,LAC
36,David Montgomery,14,13,0,—,—,—,—,—,—,—,—,80,—,DET
37,Mike Evans,17,—,13,—,—,—,—,—,—,—,—,78,—,TB
38,Tyreek Hill,16,0,13,—,—,—,—,—,—,—,—,78,—,MIA
39,Travis Etienne,17,11,1,—,—,—,—,—,—,—,—,76,—,JAC
40,Joe Mixon,17,9,3,—,—,—,—,—,—,—,—,74,—,HOU
