game,venue,city,state,roof_type,kickoff_utc,gfs_model_run,forecast_hour,time_accuracy_hrs,temp_f,feels_like_f,wind_mph,wind_dir,cloud_cover_pct,precip_in,weather_impact
Dallas Cowboys @ Philadelphia Eagles,Lincoln Financial Field,Philadelphia,PA,Open,2025-09-05 00:20:00+00:00,2025-09-06 18:00:00,F003,44.7,77.1,77.0,3.4,133.0,100.0,0.0,Favorable conditions
Kansas City Chiefs @ Los Angeles Chargers,SoFi Stadium,Sao Paulo,,Retractable,2025-09-06 00:00:00+00:00,2025-09-06 18:00:00,F003,21.0,91.2,87.0,14.6,197.0,47.0,0.0,Minimal impact (Indoor venue)
Tampa Bay Buccaneers @ Atlanta Falcons,Mercedes-Benz Stadium,Atlanta,GA,Retractable,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,85.5,83.1,15.2,248.0,100.0,0.0,Minimal impact (Indoor venue)
Cincinnati Bengals @ Cleveland Browns,FirstEnergy Stadium,Cleveland,OH,Open,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,90.9,87.4,7.1,292.0,90.0,0.0,Very hot conditions
Miami Dolphins @ Indianapolis Colts,Lucas Oil Stadium,Indianapolis,IN,Retractable,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,78.5,78.6,7.7,147.0,100.0,0.0,Minimal impact (Indoor venue)
Las Vegas Raiders @ New England Patriots,Gillette Stadium,Foxborough,MA,Open,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,89.3,86.1,5.9,232.0,80.0,0.0,Favorable conditions
Arizona Cardinals @ New Orleans Saints,Caesars Superdome,New Orleans,LA,Closed,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,95.1,92.4,9.5,3.0,100.0,0.01,Minimal impact (Indoor venue)
Pittsburgh Steelers @ New York Jets,MetLife Stadium,East Rutherford,NJ,Open,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,85.7,83.1,9.1,39.0,52.0,0.0,Favorable conditions
New York Giants @ Washington Commanders,FedExField,Landover,MD,Open,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,79.8,82.0,10.5,135.0,75.0,0.0,Favorable conditions
Carolina Panthers @ Jacksonville Jaguars,TIAA Bank Field,Jacksonville,FL,Open,2025-09-07 17:00:00+00:00,2025-09-06 18:00:00,F024,1.0,90.7,88.8,14.6,4.0,100.0,0.01,Very hot conditions
Tennessee Titans @ Denver Broncos,Empower Field at Mile High,Denver,CO,Open,2025-09-07 20:05:00+00:00,2025-09-06 18:00:00,F027,0.9,78.5,78.5,4.8,130.0,100.0,0.0,Favorable conditions
San Francisco 49ers @ Seattle Seahawks,Lumen Field,Seattle,WA,Open,2025-09-07 20:05:00+00:00,2025-09-06 18:00:00,F027,0.9,71.7,71.7,12.1,254.0,100.0,0.0,Favorable conditions
Detroit Lions @ Green Bay Packers,Lambeau Field,Green Bay,WI,Open,2025-09-07 20:25:00+00:00,2025-09-06 18:00:00,F027,0.6,74.0,74.0,10.7,332.0,100.0,0.01,Favorable conditions
Houston Texans @ Los Angeles Rams,SoFi Stadium,Inglewood,CA,Retractable,2025-09-07 20:25:00+00:00,2025-09-06 18:00:00,F027,0.6,75.8,75.6,24.5,224.0,100.0,0.11,Minimal impact (Indoor venue)
Baltimore Ravens @ Buffalo Bills,Highmark Stadium,Orchard Park,NY,Open,2025-09-08 00:20:00+00:00,2025-09-06 18:00:00,F030,-0.3,51.9,52.0,2.7,134.0,100.0,0.0,Favorable conditions
Minnesota Vikings @ Chicago Bears,Soldier Field,Chicago,IL,Open,2025-09-09 00:15:00+00:00,2025-09-06 18:00:00,F054,-0.2,69.7,69.8,4.6,294.0,100.0,0.0,Favorable conditions
